c_function,c_signature,go_file,go_func,go_signature,is_c_public,notes
_h3ToFaceIjk,(C-internal: h3Index.c),h3index__h3ToFaceIjk.go,_h3ToFaceIjk,"func _h3ToFaceIjk(h H3Index, fijk *FaceIJK) H3Error",false,kind: func
_h3ToFaceIjkWithInitializedFijk,(C-internal: h3Index.c),h3index__h3ToFaceIjkWithInitializedFijk.go,_h3ToFaceIjkWithInitializedFijk,"func _h3ToFaceIjkWithInitializedFijk(h H3Index, fijk *FaceIJK) int32",false,kind: func
_hasAll7AfterRes,(C-internal: h3Index.c),h3index__hasAll7AfterRes.go,_hasAll7AfterRes,"func _hasAll7AfterRes(h H3Index, res int32) bool",false,kind: func
_hasAny7UptoRes,(C-internal: h3Index.c),h3index__hasAny7UptoRes.go,_hasAny7UptoRes,"func _hasAny7UptoRes(h H3Index, res int32) bool",false,kind: func
_hasChildAtRes,(C-internal: h3Index.c),h3index__hasChildAtRes.go,_hasChildAtRes,"func _hasChildAtRes(h H3Index, childRes int32) bool",false,kind: func
_hasDeletedSubsequence,(C-internal: h3Index.c),h3index__hasDeletedSubsequence.go,_hasDeletedSubsequence,"func _hasDeletedSubsequence(h H3Index, baseCell int32) bool",false,kind: func
_hasGoodTopBits,(C-internal: h3Index.c),h3index__hasGoodTopBits.go,_hasGoodTopBits,func _hasGoodTopBits(h H3Index) bool,false,kind: func
_zeroIndexDigits,(C-internal: h3Index.c),h3index__zeroIndexDigits.go,_zeroIndexDigits,"func _zeroIndexDigits(h H3Index, start, end int32) H3Index",false,kind: func
isResolutionClassIII,(C-internal: h3Index.c),h3index__isResolutionClassIII.go,isResolutionClassIII,func isResolutionClassIII(res int32) bool,false,kind: func
makeDirectChild,(C-internal: h3Index.c),h3index__makeDirectChild.go,makeDirectChild,"func makeDirectChild(h H3Index, cellNumber int32) H3Index",false,kind: func
setH3Index,(C-internal: h3Index.c),h3index__setH3Index.go,setH3Index,"func setH3Index(hp *H3Index, res int32, baseCell int32, initDigit int32)",false,kind: func
validateChildPos,(C-internal: h3Index.c),h3index__validateChildPos.go,validateChildPos,"func validateChildPos(childPos int64, parent H3Index, childRes int32) H3Error",false,kind: func
