file,layer,package,build_tags,attributions,h3_c_api_refs,exported_decls
latLng_getHexagonAreaAvgKm2.go,ported-impl,h3,"-",1,0,0
latLng_getHexagonAreaAvgKm2_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
latLng_getHexagonAreaAvgM2.go,ported-impl,h3,"-",1,0,0
latLng_getHexagonAreaAvgM2_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
latLng_getHexagonEdgeLengthAvgKm.go,ported-impl,h3,"-",1,0,0
latLng_getHexagonEdgeLengthAvgKm_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
latLng_getHexagonEdgeLengthAvgM.go,ported-impl,h3,"-",1,0,0
latLng_getHexagonEdgeLengthAvgM_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
latLng_h3CellAreaExhaustive_test.go,ported-internal-test,h3,"-",0,0,-
latlng.go,public-api,h3,"-",0,1,2
linkedGeo__addLinkedCoord.go,ported-impl,h3,"-",1,0,0
linkedGeo__addLinkedCoord_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
linkedGeo__addNewLinkedLoop.go,ported-impl,h3,"-",2,0,0
linkedGeo__addNewLinkedLoop_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
linkedGeo__addNewLinkedPolygon.go,ported-impl,h3,"-",1,0,0
linkedGeo__addNewLinkedPolygon_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
linkedGeo__bboxFromLinkedGeoLoop.go,ported-impl,h3,"-",1,0,0
linkedGeo__bboxFromLinkedGeoLoop_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
linkedGeo__countContainers.go,ported-impl,h3,"-",1,0,0
linkedGeo__countContainers_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
linkedGeo__countLinkedCoords.go,ported-impl,h3,"-",1,0,0
linkedGeo__countLinkedCoords_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
linkedGeo__countLinkedLoops.go,ported-impl,h3,"-",1,0,0
linkedGeo__countLinkedLoops_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
linkedGeo__countLinkedPolygons.go,ported-impl,h3,"-",1,0,0
linkedGeo__countLinkedPolygons_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
linkedGeo__findDeepestContainer.go,ported-impl,h3,"-",1,0,0
